Sno,Customer_code,date,doneorno,Name,Type,Supply_Price,status,Acquired_by,Location,Contact_Person,Contact_number,Adress,Pincode,Geo tag
145,,5th Mar,,Gupta Pan House,Pan & Pan Masala,14.3,Not Live,Sankar,Purasaiwakkam,Ramesh Kumar,9940693311,"No:59, Dr. Alagappa Road, Purasaiwakkam, Chennai - 600084. ( Near Dev Darshan Apartment)",,
146,,5th Mar,,Shahi Paan Palace,Pan & Pan Masala,14.3,Not Live,Sankar,Kilpauk,,7358721513,"No:28/81, Millers Road, (Next to Hotel Raj Bhavan) Kilpauk, Chennai - 600010.",,
147,,5th Mar,,Royal Enterprises,,15,Not Live,Sankar,Choolaimedu,A. Loganathan,9840794142,"No:25/1, Nungambakkam, Service Line, Choolaimedu, Chennai - 600094.",,
148,,5th Mar,,Jana Traders,Rice Shop,14.3,Not Live,Sankar,Choolaimedu,,,,,
149,,5th Mar,,S.R Department Store,Veg & Fruits,14.5,Not Live,Sankar,Choolaimedu,,7200529513,"No:141/127, Choolaimedu High Road, Chennai - 600094",,
150,,5th Mar,,Aadiya Store,,14.3,Not Live,Sankar8,Choolaimedu,,,"No:302, Choolaimedu High Road, Chennai - 600094",,
151,,5th Mar,,Anjulaxmi Rice Shop,Rice Shop,14.3,LIVE,Sankar,Choolaimedu,,,,,
152,,5th Mar,,RV Stores,,14.3,LIVE,Sankar,Choolaimedu,,,,,
153,,5th Mar,,Joseph Petty Shop,Petty Shop,15,LIVE,Sankar,Choolaimedu,,,,,
154,,6th Mar,,F.N.F.Store & Cool Bar,Petty shop & Snacks,14,LIVE,Karthick,Annanagar East,,,,,
155,,6th Mar,,Kani Store,Petty shop & Snacks,14.3,LIVE,Sankar,Shenoy Nagar,,,"No:33/71, Harrington Road, Shenoy Nagar, Chennai - 600030.",,
156,,6th Mar,,Saravana Fancy,Fancy shop,14.3,Not Live,Shankar,Arumbakkam,,,"New No: 747/1, (Old No: 407/1, P.H.Road. Opp- Anna Arch), Arumbakkam, Chennai - 600106.",,
157,,7th Mar,,Hotel Sri Krishna Bhavan,Petty shop & Snacks,14.3,Not Live,Sathish,Kilpauk,,,"No:23/56, New Avadi Road, Kilpauk, Chennai - 600010.",,
158,,8th Mar,,Veera Vegetables & Fruits Shop,Veg & Fruits,14.3,Not Live,Shankar,Choolaimedu,,9940499626,,,
159,,9th Mar,,G.V.Cool Drink Shop,Juices & Snacks,14.3,Not Live,Shankar,Purasaiwakkam,,9840628382,"No:198.B, Purasaiwakkam, Chennai - 600010.",,
160,,9th Mar,,Ponnu News Mart,Petty shop & Snacks,15,Not Live,Shankar,Ayanavaram,,,,,
161,,10th Mar,,Avin Palagam,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,,,
162,,10th Mar,,Chinnapillai Amman Store,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,,,
163,,10th Mar,,Snacks City,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,,,
164,,10th Mar,,Gowtham Stores,Petty shop & Snacks,15,Not Live,Shankar,Villivakkam,,,,,
165,,10th Mar,,S.S.Avin Palagam,Petty shop & Snacks,15,Not Live,Shankar,Villivakkam,,,,,
